measure,sex,born_children_group,n_unweighted,weighted_population,mean_score_1_5,share_score_4_5_pct
monthly_cash_payment,Все,1 ребёнок,4710,17960460.936719686,3.119875125575019,46.41176665887238
monthly_cash_payment,Все,2 ребёнка,4060,14250411.738484945,2.9805999745225686,43.89437592449843
monthly_cash_payment,Все,3+ детей,1443,4477655.276729324,3.0185954467726135,45.51148113755495
monthly_cash_payment,Все,все,14988,55326390.99999997,3.1606188290699593,48.04399294316312
monthly_cash_payment,Женщины,0 детей,2224,9030394.878530324,3.5314542385316443,57.79480084378446
monthly_cash_payment,Женщины,1 ребёнок,2389,9306559.150606908,3.291777239915724,50.520323176920776
monthly_cash_payment,Женщины,2 ребёнка,1917,6796106.681463504,3.193906208083434,49.49858899961379
monthly_cash_payment,Женщины,3+ детей,676,2078719.4525541328,3.2056047439776583,51.22079903155132
monthly_cash_payment,Женщины,все,7206,27211780.16315487,3.3402895943427016,52.73273573581449
monthly_cash_payment,Мужчины,0 детей,2551,9607468.169535687,3.221431943149663,49.26547569046542
monthly_cash_payment,Мужчины,1 ребёнок,2321,8653901.786112782,2.9350085492298317,41.99335225992594
monthly_cash_payment,Мужчины,2 ребёнка,2143,7454305.057021441,2.7861282017668594,38.78500226286362
monthly_cash_payment,Мужчины,3+ детей,767,2398935.824175191,2.85654865085957,40.56425827003778
monthly_cash_payment,Мужчины,все,7782,28114610.836845104,2.9867177427372873,43.50581744233078
additional_monthly_benefits,Все,0 детей,4775,18637863.048066013,3.3218354638485184,52.156690402950055
additional_monthly_benefits,Все,1 ребёнок,4710,17960460.936719686,3.0777964526365498,45.56836678579818
additional_monthly_benefits,Все,2 ребёнка,4060,14250411.738484945,2.96257002069384,44.0846522148439
additional_monthly_benefits,Все,3+ детей,1443,4477655.276729324,3.041396219826957,46.797594496628946
additional_monthly_benefits,Все,все,14988,55326390.99999997,3.1273813582650396,47.50510593981295
additional_monthly_benefits,Женщины,0 детей,2224,9030394.878530324,3.4810471966955943,56.235925865392566
additional_monthly_benefits,Женщины,1 ребёнок,2389,9306559.150606908,3.2450226654077396,49.701260439113206
additional_monthly_benefits,Женщины,2 ребёнка,1917,6796106.681463504,3.212817579038895,50.49138288286116
additional_monthly_benefits,Женщины,3+ детей,676,2078719.4525541328,3.2394595675532627,51.51356745936475
additional_monthly_benefits,Женщины,все,7206,27211780.16315487,3.3148806969211764,52.205603891320784
additional_monthly_benefits,Мужчины,0 детей,2551,9607468.169535687,3.1721867955903074,48.32247452231185
additional_monthly_benefits,Мужчины,1 ребёнок,2321,8653901.786112782,2.897958423600386,41.123779800830626
additional_monthly_benefits,Мужчины,2 ребёнка,2143,7454305.057021441,2.7344187590699542,38.24362145930261
additional_monthly_benefits,Мужчины,3+ детей,767,2398935.824175191,2.869770897628843,42.71112222147802
additional_monthly_benefits,Мужчины,все,7782,28114610.836845104,2.945903093676681,42.95555276776042
