subject;region_slug;federal_district;settlements;municipalities;population;children;urban_population;rural_population;avg_score;engineering_score;social_score;data_confidence_note
Республика Татарстан;respublika_tatarstan;Приволжский федеральный округ;3264;45;4004613;803494;3041674;962939;90.9;93.8;97.8;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Тыва;respublika_tyva;Сибирский федеральный округ;142;19;322644;120725;175147;147497;80.3;71.6;97.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Республика Хакасия;respublika_hakasiya;Сибирский федеральный округ;282;13;535309;126441;372523;162786;83.7;81.4;94.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ростовская область;rostovskaya_oblast;Южный федеральный округ;2295;55;4230429;781024;2877965;1352464;89.1;91.6;97.1;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Рязанская область;ryazanskaya_oblast;Центральный федеральный округ;2787;29;1146962;191240;808454;338508;89.6;93.4;97.1;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Самарская область;samarskaya_oblast;Приволжский федеральный округ;1334;37;3210637;570282;2568553;642084;89.7;92.0;99.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Санкт-Петербург;sankt_peterburg;Северо-Западный федеральный округ;1;1;5225690;821979;5225690;0;94.7;99.4;100.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Саратовская область;saratovskaya_oblast;Приволжский федеральный округ;1821;42;2442755;446625;1857240;585515;87.9;90.8;95.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Сахалинская область;sahalinskaya_oblast;Дальневосточный федеральный округ;243;18;489512;101902;402519;86993;88.1;88.9;97.5;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Свердловская область;sverdlovskaya_oblast;Уральский федеральный округ;2118;67;4455865;916860;3766551;689314;91.7;95.5;98.6;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Севастополь;sevastopol;Южный федеральный округ;43;8;463265;79726;430534;32731;93.0;99.7;99.9;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Смоленская область;smolenskaya_oblast;Центральный федеральный округ;5162;27;1025951;165403;715066;310885;87.4;89.9;96.1;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ставропольский край;stavropolskiy_kray;Северо-Кавказский федеральный округ;929;34;2799655;547300;1627443;1172212;87.2;88.2;96.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Тамбовская область;tambovskaya_oblast;Центральный федеральный округ;1584;30;1015966;171530;620989;394977;88.3;92.8;95.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Тверская область;tverskaya_oblast;Центральный федеральный округ;8957;43;1303663;237432;976737;326926;89.3;93.8;96.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Томская область;tomskaya_oblast;Сибирский федеральный округ;577;20;1077442;227459;781232;296210;90.0;93.6;96.1;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Тульская область;tulskaya_oblast;Центральный федеральный округ;3574;25;1602687;226742;1290634;312053;90.4;94.1;98.6;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Тюменская область;tyumenskaya_oblast;Уральский федеральный округ;1228;26;1478160;329328;1046220;431940;89.4;90.8;96.3;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Удмуртская республика;udmurtskaya_respublika;Приволжский федеральный округ;1962;30;1507391;334891;1061495;445896;90.9;94.0;97.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ульяновская область;ulyanovskaya_oblast;Приволжский федеральный округ;969;24;1238271;247804;936383;301888;90.8;95.0;96.4;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Хабаровский край;habarovskiy_kray;Дальневосточный федеральный округ;435;19;1320782;266951;1087237;233545;87.6;87.8;97.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ханты-Мансийский автономный округ - Югра;hanty_mansiyskiy_avtonomnyy_okrug_yugra;Уральский федеральный округ;196;22;1674530;417755;1552327;122203;90.6;90.6;99.6;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Челябинская область;chelyabinskaya_oblast;Уральский федеральный округ;1313;43;3501534;734788;2833375;668159;92.6;96.8;98.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Чеченская республика;chechenskaya_respublika;Северо-Кавказский федеральный округ;366;17;1456949;528912;522565;934384;87.9;87.6;95.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Чувашская республика;chuvashskaya_respublika;Приволжский федеральный округ;1721;26;1221431;240825;815493;405938;89.6;92.3;98.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Чукотский автономный округ;chukotskiy_avtonomnyy_okrug;Дальневосточный федеральный округ;44;7;49790;13163;34618;15172;75.5;70.1;87.0;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ямало-Ненецкий автономный округ;yamalo_nenetskiy_avtonomnyy_okrug;Уральский федеральный округ;92;13;545045;143118;461308;83737;87.9;89.7;94.7;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
Ярославская область;yaroslavskaya_oblast;Центральный федеральный округ;6032;19;1275917;224568;1050060;225857;92.7;97.9;98.6;"расчёт по локальной PBF-выгрузке открытых геоданных; внешних runtime-запросов нет"
